pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,label
1.626604129217257971e-02,-7.233939642952152971e-02,1.561374258725615159e-02,2.441489400507462076e-02,5.928356623776286777e-02,-6.632803590349994893e-02,9.742080916965752124e-02,4.277922342880043083e-02,0
-1.154077590216437063e-02,6.936077480587528321e-02,4.689667665011825609e-02,-8.422223748087325976e-03,9.645388904080769155e-02,-2.966141746628822226e-02,3.966721856758361614e-02,-3.475270985487371317e-02,0
-2.088593442744184070e-02,1.405732207574081905e-01,-4.423161346973039643e-02,3.094892490472788901e-02,2.790584454872219178e-02,-5.876574450995695510e-03,2.059332995659567817e-02,-8.426284800784275553e-02,0
-4.240930941802627252e-02,-3.749181675100304173e-02,7.532945901263402022e-02,9.169446021482791087e-02,-5.121545095630639088e-02,4.177395801988936092e-02,-2.242683564449262593e-03,-4.486917810759474823e-02,0
-7.629518623499646768e-02,-9.775106477243604430e-02,-5.498352941872860361e-02,-9.342806120348350063e-02,-4.693024382195851857e-02,1.106186379165869926e-01,3.188350344563715272e-02,-5.785002555430282523e-03,0
-8.767610958126881293e-02,-1.035031862490338106e-03,6.404874722956867272e-02,2.817447779757378465e-02,-4.564877461359502508e-02,4.078788393966104736e-02,-1.228219238567049426e-01,2.330269060808967327e-02,0
-1.215110467609440276e-01,5.282378593103930625e-02,1.890807590941981919e-01,-7.629735817480251536e-02,8.713911026947233907e-03,-3.826595156066304321e-02,3.723033486951150828e-02,2.468066685364209492e-03,0
-3.355673401442109405e-02,7.683868007916391796e-02,3.127208908264757919e-02,-7.775422780248303356e-02,1.721536264647283501e-02,3.488336373494328735e-02,9.635467475447719032e-02,-5.242590823076476170e-02,0
1.648325265759175914e-02,2.618345663156747272e-02,-5.857777434010297962e-02,-1.601592087980270585e-01,-1.408952059204922891e-01,-5.030317512282637959e-02,2.874211233666306570e-02,-1.911829857739714977e-02,0
-1.133302633778359159e-01,-2.954765953174340667e-02,1.578477731361658740e-02,6.230296550498923974e-02,-7.094994793415295570e-03,-8.647927070971944685e-02,-6.900689620177377984e-03,-2.502934180830848274e-02,0
1.273280445900364100e-01,2.225948010224757662e-02,1.176977369915759714e-01,6.599497777147490807e-02,-4.066924603940121064e-02,2.724324521942762811e-02,-3.034046317038861188e-03,1.246766192600091798e-02,0
8.963148080578359211e-02,1.203732418114223379e-01,4.088243746068308260e-02,-3.762609736102474206e-02,3.058874104675521691e-02,2.965273543001014853e-03,-1.551768085919367872e-02,1.122215598700540690e-01,0
3.230738966280131963e-02,-1.507199154288095255e-01,9.286469569199391066e-03,-9.471482292146110940e-03,-5.466372239854221798e-02,5.495578344921196040e-02,-3.814664610508344128e-02,-8.482783739723553929e-02,0
-4.299092165177277602e-02,-1.150041370232586652e-01,-9.083956864980197166e-02,2.410582453651283555e-02,2.162839085358455593e-01,-3.537392173830741088e-02,9.414939418880961808e-03,-3.666235864955303542e-02,0
-8.613604815665251713e-02,-5.540967198694087686e-02,-2.429023024370534876e-03,-4.705175945223125100e-02,-3.788411493117023465e-02,3.679139041217092260e-02,2.096808115858749336e-02,5.071436169045698272e-02,0
-1.261400004843145073e-01,-6.218146456043410764e-02,4.074026462608926202e-02,-4.990632940353098568e-02,4.155129159863252437e-03,8.640678457405026602e-02,6.023299088734093004e-02,6.704607309989191188e-02,0
-6.276046643298231753e-02,1.949126692461180047e-02,-2.676977991350354760e-03,6.897695950771617381e-03,8.898519780172269369e-03,2.888871154846561762e-02,1.294432672189427813e-01,-3.326119322818781032e-02,0
6.235531352123946380e-02,-2.263749172341933055e-02,-2.741227338913568637e-02,3.901262642206407283e-02,-1.805341379306787952e-02,1.293748639403802803e-01,-3.687107619672167630e-02,-2.192475910786300872e-02,0
4.096488968725656848e-02,-1.028618053083283912e-01,5.364561044867486445e-02,9.764007847114883343e-02,1.060410058535482258e-01,4.941866078572214327e-02,-6.211193026754791013e-02,6.369066147873883588e-02,0
7.249365073778792079e-02,8.395405925817038539e-02,-1.467544532396340175e-02,-7.659186718391526073e-03,6.422929313797418049e-02,-1.071419821063786387e-01,-4.223774011291896863e-02,4.732268300633237640e-02,0
5.946440274363866407e-02,4.566111906969582551e-02,-7.201290165193666160e-02,-1.402390489313238946e-02,1.974868796778172716e-02,-8.887714882100326841e-02,-3.736511927131350858e-02,5.790632258578639474e-02,0
-9.427724530393473412e-02,-3.141612676564119189e-02,9.832234347186853685e-02,-8.111223301516784501e-02,1.164419177072826932e-02,-6.084543010635069110e-02,8.814743851308370903e-02,-2.548787774039498744e-02,0
