pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,label,train_index
-9.427724530393473412e-02,-3.141612676564119189e-02,9.832234347186853685e-02,-8.111223301516784501e-02,1.164419177072826932e-02,-6.084543010635069110e-02,8.814743851308370903e-02,-2.548787774039498744e-02,0,21
-2.607089701005685725e-03,-6.461851761325806444e-03,-1.133846481299059933e-01,-1.399627741548356216e-02,3.012590356054597324e-02,4.495449013680951483e-02,-2.580517142387446505e-03,-3.949704072341608113e-02,0,23
1.899842380981250217e-02,1.916910436101973425e-02,-8.731027451965040626e-03,1.584572936235923435e-01,7.773598065710930760e-02,-2.852110601144178942e-02,3.343408067215908330e-02,-8.246028385216870593e-02,0,50
-7.548341255794142890e-02,-4.960676454659774387e-02,1.293441978522769618e-02,-1.221926652292071834e-02,1.059620924056222935e-01,-1.439263377813836120e-01,-6.122800741568283633e-03,3.064172460360551839e-02,0,106
2.256341796473151223e-02,4.147953613006283985e-03,3.878652177201090401e-02,1.517392476822877409e-02,-1.980791013106425816e-02,3.847227699100422976e-02,3.057859653752246359e-03,-1.504456929030009195e-02,0,107
1.103575374521136541e-02,2.434734275826236916e-01,7.477829436129250495e-02,-6.011464139380617161e-02,3.772017579258710868e-02,-6.557020533235094484e-02,1.831204998441997994e-02,-4.461328500724247997e-02,0,159
-7.082485173902895725e-02,-4.451855118689520413e-02,-3.106384918979875412e-02,4.270672923465605036e-02,-5.116904975486255558e-02,5.568420044888586912e-03,9.558635052971818646e-02,-2.073236316608019318e-03,0,172
-4.825676841384648336e-02,-2.277678215289721808e-02,8.684106629885005035e-02,1.788408520032787052e-01,1.621063327299537282e-01,-4.901661473602175051e-02,1.371899080269126936e-01,2.529011104004043331e-02,0,187
-1.086440335011911312e-01,9.709507100383088507e-02,-3.701833690135560712e-02,4.696028219088885236e-02,-5.966295096680731408e-02,5.088226079746303171e-02,5.547182136982604234e-02,-2.783271692997756758e-02,0,211
-4.560857569117852256e-02,2.006883350868459912e-02,9.302113915324392024e-02,-1.084114052386239528e-02,3.220056065578560944e-02,2.686239356706832462e-02,2.138887792752632716e-02,-5.868218806826425681e-03,0,246
-8.518098658903043574e-02,9.638255612068219458e-02,4.315241439988315442e-02,4.865593305786206719e-05,-4.556916782704689001e-02,1.638869562808817175e-03,-3.240705190376075989e-02,-2.989209934260681628e-02,1,294
1.206724939082628317e-02,9.107943925731993087e-03,-6.041222642598042224e-03,3.787019926493810640e-02,-8.284108193818447152e-02,-2.450498708690637337e-02,4.952208924182340682e-02,8.999380792367277226e-02,1,340
-3.496914112318096762e-02,-3.047825059420506202e-02,1.117462323472651238e-02,2.714707584918859412e-02,1.576863639607484126e-03,2.711088429858503346e-03,-5.472882453598088871e-03,4.859498768149183440e-02,1,349
-4.415992086077405454e-02,3.239864552819549798e-02,-2.372063420984659929e-02,-7.088816549843895629e-03,2.707122668891063372e-02,8.310893954733876432e-02,4.564586855869332688e-02,-3.847681614404206696e-02,1,358
-4.779174187492238324e-02,2.967268641487965080e-03,3.493964148559173394e-02,-9.229115333460574666e-02,-1.006847772217630693e-01,-4.366659594799468633e-04,2.483427542698651500e-03,-1.547915589714776198e-02,1,371
-2.090872873638623120e-02,8.364762539359196780e-02,6.400975159515309709e-02,-5.617271813568835981e-02,-8.581526841553106799e-02,-1.837755324698401465e-04,9.968567335851188926e-02,-3.706576185527958589e-02,1,386
2.426280431141898501e-03,-3.978296199950275003e-02,6.130479555381451034e-02,6.065660390437400268e-02,-3.510688700178047489e-02,-4.092251622131812261e-02,6.110366472772515295e-02,-3.508225145022350155e-04,1,409
-8.374519896990786916e-02,-3.522790218206692942e-02,-8.434054215877836991e-02,4.621805397985433161e-02,-5.677745430231783547e-02,4.842838633786410857e-02,1.793449661999565320e-02,6.336576118617534559e-02,1,442
-8.868415292614123535e-02,-2.565601684330371529e-02,5.382328590234931182e-02,-1.806338963444100582e-02,3.955295701027663341e-02,7.804606519648890628e-02,-2.100448395817584163e-02,-5.830984325885225222e-02,1,454
3.024547359645581805e-03,-1.990095479902734971e-02,4.061176473992730851e-02,-1.641205567528971829e-02,-8.359917382254665463e-02,3.967911924019173336e-02,9.950888807563856853e-02,7.372596971550244259e-03,1,477
